stop_id,stop_name,stop_lat,stop_lon,stop_sequence,# entering,# leaving,total_ridership,Percentage,Actual,distance_to_next,distance_from_prev,is_terminal,avg_travel_time_to_next,avg_dwell_time,avg_travel_time_in_seconds,accel_decel_time,run_time
308085,TOMPKINS AV/DEKALB AV,40.692113,-73.945729,28,5,5,10,0.007112376,15.92213219,208.7012887,201.5691369,0,1.259437751,5.474048432,75.56626506,11.46377219,58.62844444
303769,TOMPKINS AV/LAFAYETTE AV,40.690258,-73.945352,29,9,7,16,0.011379801,25.47541016,172.1935845,208.7012887,0,1.040562249,5.758477451,62.43373494,11.46377219,45.2114853
303770,TOMPKINS AV/GREENE AV,40.688726,-73.945054,30,7,1,8,0.0056899,12.73770396,234.8818738,172.1935845,0,1.418072289,5.379238692,85.08433734,11.46377219,68.24132646
303771,TOMPKINS AV/GATES AV,40.686637,-73.944641,31,5,2,7,0.004978663,11.14549209,254.9943797,234.8818738,0,1.538353414,5.331833889,92.30120484,11.46377219,75.50559876
308023,TOMPKINS AV/PUTNAM AV,40.68437,-73.944185,32,9,4,13,0.009246088,20.69877006,243.3548409,254.9943797,0,1.468473896,5.616262909,88.10843376,11.46377219,71.02839866
303774,TOMPKINS AV/HALSEY ST,40.682206,-73.943754,33,6,8,14,0.009957326,22.29098417,230.7863022,243.3548409,0,1.392971888,5.663667778,83.57831328,11.46377219,66.45087332
303776,TOMPKINS AV/FULTON ST,40.680153,-73.943352,34,4,17,21,0.014935989,33.43647626,75.08400289,230.7863022,0,0.646586345,5.995501668,38.7951807,11.46377219,21.33590685
303777,BROOKLYN AV/FULTON ST,40.679761,-73.944077,35,21,0,21,0.014935989,33.43647626,223.0771807,75.08400289,0,1.221084337,5.995501668,73.26506022,11.46377219,55.80578637
303778,BROOKLYN AV/ATLANTIC AV,40.67776,-73.944267,36,37,1,38,0.027027027,60.5040983,254.2590155,223.0771807,0,1.38935743,6.801383922,83.3614458,11.46377219,65.09628969
303779,BROOKLYN AV/BERGEN ST,40.675479,-73.944478,37,4,5,9,0.006401138,14.32991808,298.3095881,254.2590155,0,1.633333333,5.426643562,97.99999998,11.46377219,81.10958423
303780,BROOKLYN AV/PARK PL,40.672803,-73.944729,38,3,8,11,0.007823613,17.51434407,201.8837462,298.3095881,0,1.106827309,5.521453236,66.40963854,11.46377219,49.42441312
303781,BROOKLYN AV/SAINT JOHNS PL,40.670992,-73.944899,39,0,12,12,0.008534851,19.10655818,126.6576531,201.8837462,0,0.696385542,5.568858105,41.78313252,11.46377219,24.75050223
303782,BROOKLYN AV/EASTERN PKWY,40.669856,-73.945009,40,3,7,10,0.007112376,15.92213219,172.8332297,126.6576531,0,0.94497992,5.474048432,56.6987952,11.46377219,39.76097458
303783,BROOKLYN AV/UNION ST,40.668305,-73.945143,41,2,0,2,0.001422475,3.184425991,192.8217647,172.8332297,0,1.057630522,5.094809673,63.45783132,11.46377219,46.89924946
303784,BROOKLYN AV/CARROLL ST,40.666576,-73.945318,42,7,0,7,0.004978663,11.14549209,196.1853762,192.8217647,0,1.074899598,5.331833889,64.49397588,11.46377219,47.6983698
