metric,baseline,optimized,change,percent_change
Stops,50.0,35.0,-15.0,-30.0
Total Ridership,2238.6516460020002,2238.651646002,0.0,0.0
Dwell Time (seconds),316.65120539000003,241.65120539674712,-74.99999999325291,-23.685366964221714
Acc/Decel Time (seconds),573.1886095,526.5624185716064,-46.62619092839361,-8.134528522656138
Total Travel Time (seconds),3696.1482130199997,3574.5220220983533,-121.62619092164641,-3.2906199619703482
In-Vehicle Cost ($),39073.5002155716,37787.73981763746,-1285.7603979341366,-3.290619961970375
Walk Cost ($),0.0,181.5959991208581,181.5959991208581,inf
Total Daily Cost ($),39073.5002155716,37969.33581675832,-1104.1643988132782,-2.825865081760057
Annual Cost ($),14261827.578683633,13858807.573116787,-403020.0055668466,-2.825865081760057
