scenario_number,stop_index,stop_id,stop_sequence,stop_name,baseline_ridership,scenario_ridership
2,29,304663,30,FLUSHING AV/THROOP AV,41.39754098,44.68616035
2,30,304664,31,FLUSHING AV/BROADWAY,178.3278689,177.4605079
2,31,306600,32,GRAHAM AV/COOK ST,25.47540984,23.72571235
2,32,306676,33,GRAHAM AV/SEIGEL ST,17.51434426,16.5373385
2,33,306677,34,GRAHAM AV/JOHNSON AV,12.73770492,13.24200326
2,34,306474,35,GRAHAM AV/SCHOLES ST,20.69877049,20.8537885
2,35,305263,36,GRAHAM AV/GRAND ST,33.43647541,34.22092142
2,36,305264,37,GRAHAM AV/AINSLIE ST,25.47540984,22.26476175
2,37,305265,38,GRAHAM AV/METROPOLITAN AV,60.50409836,60.2056973
2,38,306476,39,GRAHAM AV/JACKSON ST,114.6393443,117.740398
2,39,307114,40,GRAHAM AV/MEEKER AV,74.83401639,69.33335317
2,40,306622,41,GRAHAM AV/BAYARD ST,89.16393443,102.0335221
2,41,305271,42,GRAHAM AV/ENGERT AV,49.35860656,54.68518169
2,42,305272,43,GRAHAM AV/DRIGGS AV,49.35860656,56.5599772
2,43,306623,44,DRIGGS AV/LEONARD ST,17.51434426,19.28831987
2,44,307121,45,MANHATTAN AV/NASSAU AV,3.18442623,3.535355593
2,45,305155,46,MANHATTAN AV/NORMAN AV,35.02868852,39.84368142
2,46,305156,47,MANHATTAN AV/MESEROLE AV,38.21311475,41.37836792
2,47,305157,48,MANHATTAN AV/CALYER ST,103.4938525,108.7529617
2,48,305159,49,MANHATTAN AV/GREENPOINT AV,93.94057377,110.3463033
2,49,308186,50,MANHATTAN AV/INDIA ST,97.125,83.68475951
2,50,305284,51,MANHATTAN AV/EAGLE ST,101.9016393,78.58460962
2,51,308187,52,MANHATTAN AV/CLAY ST,23.88319672,26.88033271
2,52,305286,53,BOX ST/MANHATTAN AV,116.2315574,105.233641
3,0,901736,1,LINCOLN RD/OCEAN AV,203.8032787,224.9255793
3,1,303710,2,EMPIRE BLVD/WASHINGTON AV,35.02868852,34.8710073
3,2,303711,3,EMPIRE BLVD/BEDFORD AV,11.1454918,13.03589726
